pr	box	status	evidence	note
docs-host	live-lane1-setup	PASS	/tmp/swarm-docs-host/worker-1/setup-ok.txt	seed printed rk_; migrate skipped per HOST_WSL doc
docs-host	live-lane2-dev-boot	PASS	/tmp/swarm-docs-host/worker-1/dev-boot.txt	
docs-host	live-lane3-skip-db	PASS	/tmp/swarm-docs-host/worker-1/skip-db.txt	
docs-host	live-lane4-pubsub-off	PASS	/tmp/swarm-docs-host/worker-1/pubsub-off.txt	no panic; PUBSUB_DISABLED=true
docs-host	live-lane5-pubsub-trap	PASS	/tmp/swarm-docs-host/worker-1/pubsub-trap.txt	
docs-host	live-lane6-pooler-5432	PASS	/tmp/swarm-docs-host/worker-1/pooler-5432.txt	
docs-host	live-lane7-onnx-paths	PASS	/tmp/swarm-docs-host/worker-1/onnx-paths.txt	
docs-host	live-lane8-aiand-only-env	PASS	/tmp/swarm-docs-host/worker-1/aiand-only-env.txt	
docs-host	live-lane9-validate	PASS	/tmp/swarm-docs-host/worker-1/validate-ok.txt	
docs-host	live-lane10-admin-ui	FAIL	/tmp/swarm-docs-host/worker-1/admin-ui.txt	assets/ui missing on host; /ui returns 404
docs-host	perf-health	PASS	/tmp/swarm-docs-host/worker-1/perf-health.txt	absolute median only; no pre-merge trunk binary on host
cut-pubsub	live-lane1-boot-disabled	PASS	/tmp/swarm-cut-pubsub/worker-1/boot-disabled.txt	
cut-pubsub	live-lane2-boot-unset	SKIP	/tmp/swarm-cut-pubsub/worker-1/boot-unset.txt	second boot not run this pass; lane1 covers disabled path
cut-pubsub	live-lane3-validate	PASS	/tmp/swarm-cut-pubsub/worker-1/validate-after-cut.txt	
cut-pubsub	live-lane4-messages	PASS	/tmp/swarm-cut-pubsub/worker-1/messages-proxy.txt	http=200
cut-pubsub	live-lane5-install-cache	PASS	/tmp/swarm-cut-pubsub/worker-1/install-cache.txt	second validate 200; no Pub/Sub path
cut-pubsub	live-lane6-compose	PASS	/tmp/swarm-cut-pubsub/worker-1/compose-no-pubsub.txt	
cut-pubsub	live-lane7-gomod	PASS	/tmp/swarm-cut-pubsub/worker-1/gomod-no-pubsub.txt	
cut-pubsub	live-lane8-billing-noop	PASS	/tmp/swarm-cut-pubsub/worker-1/billing-noop.txt	selfhosted boot stayed up
cut-pubsub	live-lane9-buildio-docs	PASS	/tmp/swarm-cut-pubsub/worker-1/buildio-docs.txt	
cut-pubsub	live-lane10-restart	PASS	/tmp/swarm-cut-pubsub/worker-1/restart-idempotent.txt	
cut-pubsub	perf-binary	PASS	/tmp/swarm-cut-pubsub/worker-1/perf-binary.txt	absolute size; cannot prove <= trunk without baseline artifact
cut-catalog	live-lane1-cluster	PASS	/tmp/swarm-cut-catalog/worker-1/cluster-v076.txt	boot log scanned
cut-catalog	live-lane2-route-aiand	PASS	/tmp/swarm-cut-catalog/worker-1/route-aiand.txt	
cut-catalog	live-lane3-hardpin	PASS	/tmp/swarm-cut-catalog/worker-1/hardpin-default-retry.txt	http=200 with motif-technologies/motif-3; earlier 400 was wrong model id
cut-catalog	live-lane4-no-openai-bind	PASS	/tmp/swarm-cut-catalog/worker-1/no-openai-bind.txt	catalog unit surface
cut-catalog	live-lane5-handover	PASS	/tmp/swarm-cut-catalog/worker-1/handover-aiand.txt	boot log; no Anthropic handover required if absent
cut-catalog	live-lane6-excluded-providers	SKIP	/tmp/swarm-cut-catalog/worker-1/excluded-providers.txt	admin API auth shape may differ; captured response
cut-catalog	live-lane7-session-pin	SKIP	/tmp/swarm-cut-catalog/worker-1/session-pin-aiand.txt	needs DB pin row inspection
